"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","72","countsOnlyShippedOrders()","","2026-07-10","passed","2026-07-10","","tests.OrderTest","tests.OrderTest","countsOnlyShippedOrders"
"","33","findsOrderBySku()","","2026-07-10","passed","2026-07-10","","tests.OrderTest","tests.OrderTest","findsOrderBySku"
"","29","categoriesSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-10","passed","2026-07-10","","tests.AllureReportInsightTest","tests.AllureReportInsightTest","categoriesSpecificFlakyRuleBeforeGenericBuckets"
"","95","createsOrder()","","2026-07-10","passed","2026-07-10","","tests.OrderTest","tests.OrderTest","createsOrder"
"","49","countsOrders()","","2026-07-10","passed","2026-07-10","","tests.OrderTest","tests.OrderTest","countsOrders"
